survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,man,True,Southampton,no,False,2
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,woman,False,Southampton,yes,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),S,First,woman,False,Southampton,yes,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,no,True,1
1,3,female,MinMaxScaler(),0,2,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,3
1,2,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Second,child,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),1,1,MinMaxScaler(),S,Third,child,False,Southampton,yes,False,3
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,5,MinMaxScaler(),S,Third,man,True,Southampton,no,False,7
0,3,female,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,child,False,Southampton,no,True,1
1,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,yes,True,1
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,woman,False,Cherbourg,yes,True,1
0,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,no,True,1
1,2,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Second,man,True,Southampton,yes,True,1
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,child,False,Queenstown,yes,True,1
1,1,male,MinMaxScaler(),0,0,MinMaxScaler(),S,First,man,True,Southampton,yes,True,1
0,3,female,MinMaxScaler(),3,1,MinMaxScaler(),S,Third,child,False,Southampton,no,False,5
1,3,female,MinMaxScaler(),1,5,MinMaxScaler(),S,Third,woman,False,Southampton,yes,False,7
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
0,1,male,MinMaxScaler(),3,2,MinMaxScaler(),S,First,man,True,Southampton,no,False,6
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,1,male,MinMaxScaler(),0,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,True,1
1,1,female,MinMaxScaler(),1,0,MinMaxScaler(),C,First,woman,False,Cherbourg,yes,False,2
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),C,First,man,True,Cherbourg,no,False,2
0,1,male,MinMaxScaler(),1,0,MinMaxScaler(),S,First,man,True,Southampton,no,False,2
1,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,female,MinMaxScaler(),2,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,3
1,3,female,MinMaxScaler(),1,0,MinMaxScaler(),C,Third,child,False,Cherbourg,yes,False,2
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
0,2,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Second,woman,False,Southampton,no,False,2
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,True,1
1,2,female,MinMaxScaler(),1,2,MinMaxScaler(),C,Second,child,False,Cherbourg,yes,False,4
1,3,female,MinMaxScaler(),0,0,MinMaxScaler(),Q,Third,woman,False,Queenstown,yes,True,1
0,3,male,MinMaxScaler(),0,0,MinMaxScaler(),S,Third,man,True,Southampton,no,True,1
0,3,male,MinMaxScaler(),1,0,MinMaxScaler(),Q,Third,man,True,Queenstown,no,False,2
0,3,male,MinMaxScaler(),2,0,MinMaxScaler(),C,Third,man,True,Cherbourg,no,False,3
0,3,female,MinMaxScaler(),1,0,MinMaxScaler(),S,Third,woman,False,Southampton,no,False,2
